pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
1	3.329441	0.04613	0	88.3	0.91	0.047
1	3.6191613	0.04614	0.34	88.31	0.85	-0.39
1	2.9036747	0.04619	0	84.9	2.242	0.14
6	3.69611525	0.0463	0.03	87.355	0.03052	0.07
1	3.79701816	0.0464	0.33	87.02	0.25	0.24
1	3.91405	0.0464	0	88.3	0.81	
1	3.35524	0.0465	0.067	88.6	0.685	-0.16
1	3.4059096	0.04659	0	84.41	0.478	
1	4.008778	0.0466	0.067	88.2	0.292	0.23
1	3.652836	0.0466	0.032	87.6	0.567	0.31
1	3.583893	0.04667	0.376	87.8	0.138	0.21
5	4.3123	0.0468	0.2		0.0126	-0.31
1	3.310651	0.0469	0	87.6	2.69	0.29
1	3.4148674	0.04691	0.05	15	1.02	0.33
2	3.93404	0.047	0.16		0.02	0.23
3	3.940997	0.047				-0.145
2	3.546511	0.047				0.07
3	5.212333	0.047				-0.042
1	3.352057	0.047	0.1	85.5	4.01	-0.5
1	4.0144463	0.0473		88.3		
1	3.764825	0.0473	0	88	0.58	
1	3.3023881	0.04735	0.245	86.2	0.65	-0.02
2	3.4876812	0.0474	0.086	85.82	0.16	0.33
1	3.5224991	0.0474		83.978	0.59	-0.055
1	3.57532	0.0476	0.065	86.7	10.39	-0.1
1	3.90512	0.0477	0	89.8		0.22
1	3.37796	0.0478	0.233	85	0.88	0
1	4.234516	0.0479	0.124	88.6	0.059	-0.04
1	3.142833	0.04795	0.085	82.7	2.38	-0.1
1	3.6313	0.048	0.16	85.7	2.8	0.05
1	3.31392	0.048	0	81.9	0.84	0.1
2	4.263742	0.048				-0.786
2	4.138575	0.048				0.106
3	3.936981	0.048				0.15
2	4.144495	0.048				0.089
3	4.148141	0.048				0.063
2	3.701212	0.048				-0.001
3	3.614568	0.048				0.299
5	4.617534	0.048				-0.201
1	3.509267	0.0482	0.034		0.467	0.217
4	4.3931632	0.0483	0	89.33		-0.03
1	4.098503	0.04839	0	86.92	0.579	-0.15
1	3.547851	0.0485	0	86.2	1.071	-0.157
1	3.53482	0.0485				
1	11.186	0.0485	0.35		0.004	
1	3.2346996	0.04852		88.93	0.668	0.34
1	3.7130203	0.04853	0	87.12	0.59	-0.006
1	4.055259	0.0486	0	87.83	0.28	
1	3.0763776	0.0487	0	87.5	1.52	
1	3.0801716	0.04881		84.87	1.31	-0.018
5	4.5458841	0.04881	0.31	88.2		-0.55
1	3.53273064	0.0489		88.6	0.617	0.26
1	3.971	0.049	0		0.197	
2	4.125103	0.049				-0.083
2	4.302149	0.049				-0.162
1	3.94150685	0.049	0	88.8	0.92	
1	3.3124568	0.049	0.011		4.32	0.5
5	4.64489	0.0491		88.79	0.01299	0.04
1	4.124481	0.0494	0.228	87.2	4.063	0.01
1	3.634433	0.0494		88.5	1.22	-0.09
1	4.0378962	0.04947	0.09	85.83	0.467	-0.25
1	3.646706	0.0498	0.025	87.3	1.054	
1	4.5557	0.0498	0.086		0.62	-0.02
1	3.6936411	0.04987	0.067	84.97	0.636	-0.27
1	3.474474	0.0499	0	87.2	0.762	
1	3.7520656	0.0499	0	85.5	0.542	
3	4.1547	0.05	0.27		0.058	0.23
1	4.6455	0.05	0		0.013	
2	4.0845	0.05	0.038		0.07167	0.23
3	4.180043	0.05				0.143
2	4.309427	0.05				-0.361
3	4.166972	0.05				-0.151
2	4.715106	0.05				-0.077
3	4.311792	0.05				-0.191
4	4.646186	0.05				0.155
5	5.90124	0.05			4.1	0
2	4.385315	0.05				-0.009
2	3.930821	0.05				-0.144
3	4.215	0.050201	0.12		0.016	-0.01
1	4.7228124	0.05025	0.079	87.96	2.74	0
5	7.2004	0.0505	0.13		0.018	-0.55
2	4.01593	0.0506		87.28	0.03776	0.28
1	3.585722	0.0506	0	85	0.5	0.2
1	4.2180278	0.05069	0.123	88.48	0.309	0.27
2	4.301219	0.0507	0.044	89.1	0.352	0.33
1	3.54387	0.0509	0	87	0.599	
1	4.03519	0.051	0	88.02	1.308	0.01
2	5.774464	0.051				0.126
4	4.244384	0.051				-0.24
3	4.362705	0.051				0.487
2	4.337234	0.051				-0.06
3	4.580358	0.051				0.133
2	5.795278	0.051				-0.194
4	4.028751	0.051				-0.22
3	5.169796	0.051				-0.195
1	3.9791	0.051	0	85.7	1.01	
1	3.67724	0.051	0	87.2	1.03	
3	4.44117	0.0511		87.28		-0.03
4	3.743208	0.05119	0.25	89.3	0.033	0.023
1	8.68909	0.0514	0	89.57		-0.15
1	3.6112706	0.0514	0.057	82.54	4.85	-0.05
1	3.8559	0.0514	0.26	89.35	2.06	
1	3.735438	0.0515	0.028	86.83	0.486	-0.19
